PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
NW29C,-72.2189,44.8039,998,October,4.53,45.3
NW29C,-72.2189,44.8039,998,November,3.47,33.5
NW29C,-72.2189,44.8039,998,December,3.63,21.8
NW29C,-72.2189,44.8039,998,Annual,45.76,41.7
,,,,,,
NW29T,-72.2208,44.8056,1012,January,3.11,13.9
NW29T,-72.2208,44.8056,1012,February,2.62,16.2
NW29T,-72.2208,44.8056,1012,March,2.99,25.7
NW29T,-72.2208,44.8056,1012,April,3.51,39.8
NW29T,-72.2208,44.8056,1012,May,4.1,52.8
NW29T,-72.2208,44.8056,1012,June,4.7,61.8
NW29T,-72.2208,44.8056,1012,July,4.83,66.5
NW29T,-72.2208,44.8056,1012,August,4.47,64.8
NW29T,-72.2208,44.8056,1012,September,3.83,57.3
NW29T,-72.2208,44.8056,1012,October,4.53,45.3
NW29T,-72.2208,44.8056,1012,November,3.47,33.5
NW29T,-72.2208,44.8056,1012,December,3.63,21.8
NW29T,-72.2208,44.8056,1012,Annual,45.78,41.6
,,,,,,
NW25C,-73.1063,44.7958,333,January,2.34,17.9
NW25C,-73.1063,44.7958,333,February,2.03,20.1
NW25C,-73.1063,44.7958,333,March,2.52,29.5
NW25C,-73.1063,44.7958,333,April,3.29,43.3
NW25C,-73.1063,44.7958,333,May,3.67,56.5
NW25C,-73.1063,44.7958,333,June,4.33,65.3
NW25C,-73.1063,44.7958,333,July,4.1,70.1
NW25C,-73.1063,44.7958,333,August,3.91,68.6
NW25C,-73.1063,44.7958,333,September,3.82,61
NW25C,-73.1063,44.7958,333,October,4.01,48.7
NW25C,-73.1063,44.7958,333,November,3.04,37.4
NW25C,-73.1063,44.7958,333,December,2.87,25.9
NW25C,-73.1063,44.7958,333,Annual,39.93,45.3
,,,,,,
NW25T,-73.114,44.7817,312,January,2.33,18
NW25T,-73.114,44.7817,312,February,2.02,20.2
NW25T,-73.114,44.7817,312,March,2.51,29.6
NW25T,-73.114,44.7817,312,April,3.28,43.4
NW25T,-73.114,44.7817,312,May,3.67,56.5
NW25T,-73.114,44.7817,312,June,4.34,65.4
NW25T,-73.114,44.7817,312,July,4.11,70.3
NW25T,-73.114,44.7817,312,August,3.91,68.8
NW25T,-73.114,44.7817,312,September,3.8,61.1
NW25T,-73.114,44.7817,312,October,4.01,48.8
NW25T,-73.114,44.7817,312,November,3.03,37.4
NW25T,-73.114,44.7817,312,December,2.87,26
NW25T,-73.114,44.7817,312,Annual,39.87,45.5
,,,,,,
D3,-73.2136,43.9104,403,January,2.34,19.8
D3,-73.2136,43.9104,403,February,1.93,21.8
D3,-73.2136,43.9104,403,March,2.36,31.1
D3,-73.2136,43.9104,403,April,3.12,44.3
D3,-73.2136,43.9104,403,May,3.6,56.5
D3,-73.2136,43.9104,403,June,4.1,65.5
D3,-73.2136,43.9104,403,July,4.08,70.4
D3,-73.2136,43.9104,403,August,3.79,68.7
D3,-73.2136,43.9104,403,September,3.32,61.2
D3,-73.2136,43.9104,403,October,3.96,48.7
D3,-73.2136,43.9104,403,November,2.83,37.5
D3,-73.2136,43.9104,403,December,3.01,26.8
D3,-73.2136,43.9104,403,Annual,38.44,46
,,,,,,
VE7,-72.3472,43.9664,1670,January,3.24,15.9
VE7,-72.3472,43.9664,1670,February,2.62,17.9
VE7,-72.3472,43.9664,1670,March,3.12,26.3
VE7,-72.3472,43.9664,1670,April,3.63,39.9
VE7,-72.3472,43.9664,1670,May,3.76,52
VE7,-72.3472,43.9664,1670,June,4.86,60.5
VE7,-72.3472,43.9664,1670,July,5,64.8
VE7,-72.3472,43.9664,1670,August,4.42,63.4
VE7,-72.3472,43.9664,1670,September,3.66,56.3
VE7,-72.3472,43.9664,1670,October,4.72,44.7
VE7,-72.3472,43.9664,1670,November,3.52,33.3
VE7,-72.3472,43.9664,1670,December,3.95,22.4
VE7,-72.3472,43.9664,1670,Annual,46.49,41.4
,,,,,,
VE8,-72.3501,43.9634,1713,January,3.24,15.8
VE8,-72.3501,43.9634,1713,February,2.61,17.8
VE8,-72.3501,43.9634,1713,March,3.11,26.2
VE8,-72.3501,43.9634,1713,April,3.63,39.8
VE8,-72.3501,43.9634,1713,May,3.76,51.9
VE8,-72.3501,43.9634,1713,June,4.88,60.4
VE8,-72.3501,43.9634,1713,July,5.04,64.8
VE8,-72.3501,43.9634,1713,August,4.48,63.3
VE8,-72.3501,43.9634,1713,September,3.68,56.2
VE8,-72.3501,43.9634,1713,October,4.72,44.7
VE8,-72.3501,43.9634,1713,November,3.52,33.2
VE8,-72.3501,43.9634,1713,December,3.94,22.3
VE8,-72.3501,43.9634,1713,Annual,46.61,41.4
,,,,,,
RM6,-73.3396,43.769,203,January,2.48,20.5
RM6,-73.3396,43.769,203,February,2.01,22.4
RM6,-73.3396,43.769,203,March,2.58,32
RM6,-73.3396,43.769,203,April,3.01,45.3
RM6,-73.3396,43.769,203,May,3.34,57.2
RM6,-73.3396,43.769,203,June,3.91,66.6
RM6,-73.3396,43.769,203,July,3.73,71.4
RM6,-73.3396,43.769,203,August,3.67,69.7
RM6,-73.3396,43.769,203,September,3.09,62
RM6,-73.3396,43.769,203,October,3.78,49.4
RM6,-73.3396,43.769,203,November,2.8,38
RM6,-73.3396,43.769,203,December,3.02,27.4
RM6,-73.3396,43.769,203,Annual,37.42,46.8
,,,,,,
NW20C,-73.0729,44.8476,412,January,2.39,17.4
NW20C,-73.0729,44.8476,412,February,2.06,19.7
NW20C,-73.0729,44.8476,412,March,2.57,29.1
NW20C,-73.0729,44.8476,412,April,3.3,43
NW20C,-73.0729,44.8476,412,May,3.68,56.1
NW20C,-73.0729,44.8476,412,June,4.31,64.9
NW20C,-73.0729,44.8476,412,July,4.11,69.7
NW20C,-73.0729,44.8476,412,August,3.95,68.1
NW20C,-73.0729,44.8476,412,September,3.86,60.5
NW20C,-73.0729,44.8476,412,October,4.05,48.4
NW20C,-73.0729,44.8476,412,November,3.08,36.9
NW20C,-73.0729,44.8476,412,December,2.93,25.4
NW20C,-73.0729,44.8476,412,Annual,40.29,44.9
,,,,,,
NW20T,-73.0628,44.8801,329,January,2.49,17.4
NW20T,-73.0628,44.8801,329,February,2.1,19.6
NW20T,-73.0628,44.8801,329,March,2.59,29.2
NW20T,-73.0628,44.8801,329,April,3.28,43.2
NW20T,-73.0628,44.8801,329,May,3.72,56.3
NW20T,-73.0628,44.8801,329,June,4.32,65.2
NW20T,-73.0628,44.8801,329,July,4.18,70
NW20T,-73.0628,44.8801,329,August,4,68.4
NW20T,-73.0628,44.8801,329,September,3.81,60.8
NW20T,-73.0628,44.8801,329,October,4.07,48.6
NW20T,-73.0628,44.8801,329,November,3.08,37
NW20T,-73.0628,44.8801,329,December,2.99,25.5
NW20T,-73.0628,44.8801,329,Annual,40.63,45.1
,,,,,,
NW21C,-72.8368,44.9502,701,January,2.63,15.7
NW21C,-72.8368,44.9502,701,February,2.15,18.2
NW21C,-72.8368,44.9502,701,March,2.79,27.7
NW21C,-72.8368,44.9502,701,April,3.26,41.9
NW21C,-72.8368,44.9502,701,May,3.86,54.7
NW21C,-72.8368,44.9502,701,June,4.34,63.5
NW21C,-72.8368,44.9502,701,July,4.56,67.8
NW21C,-72.8368,44.9502,701,August,4.4,66.4
NW21C,-72.8368,44.9502,701,September,4.24,59.1
NW21C,-72.8368,44.9502,701,October,4.36,47.1
NW21C,-72.8368,44.9502,701,November,3.24,35.4
NW21C,-72.8368,44.9502,701,December,3.19,23.5
NW21C,-72.8368,44.9502,701,Annual,43.04,43.4
,,,,,,
NW21T,-72.8388,44.9504,671,January,2.63,15.8
NW21T,-72.8388,44.9504,671,February,2.15,18.3
NW21T,-72.8388,44.9504,671,March,2.79,27.8
NW21T,-72.8388,44.9504,671,April,3.26,42
NW21T,-72.8388,44.9504,671,May,3.86,54.8
NW21T,-72.8388,44.9504,671,June,4.34,63.6
NW21T,-72.8388,44.9504,671,July,4.56,67.9
NW21T,-72.8388,44.9504,671,August,4.4,66.5
NW21T,-72.8388,44.9504,671,September,4.24,59.2
NW21T,-72.8388,44.9504,671,October,4.35,47.2
NW21T,-72.8388,44.9504,671,November,3.24,35.5
NW21T,-72.8388,44.9504,671,December,3.19,23.5
NW21T,-72.8388,44.9504,671,Annual,43.02,43.5
,,,,,,
NW03C,-73.1248,44.8141,210,January,2.27,18.1
NW03C,-73.1248,44.8141,210,February,1.99,20.3
NW03C,-73.1248,44.8141,210,March,2.42,29.8
NW03C,-73.1248,44.8141,210,April,3.24,43.6
NW03C,-73.1248,44.8141,210,May,3.65,56.8
NW03C,-73.1248,44.8141,210,June,4.33,65.6
NW03C,-73.1248,44.8141,210,July,4.1,70.6
NW03C,-73.1248,44.8141,210,August,3.88,69
NW03C,-73.1248,44.8141,210,September,3.69,61.5
NW03C,-73.1248,44.8141,210,October,3.95,49
NW03C,-73.1248,44.8141,210,November,2.94,37.6
NW03C,-73.1248,44.8141,210,December,2.79,26.2
NW03C,-73.1248,44.8141,210,Annual,39.26,45.7
,,,,,,
NW03T,-73.1251,44.8111,185,January,2.27,18.1
NW03T,-73.1251,44.8111,185,February,1.98,20.4
NW03T,-73.1251,44.8111,185,March,2.42,29.9
NW03T,-73.1251,44.8111,185,April,3.23,43.7
NW03T,-73.1251,44.8111,185,May,3.65,56.9
NW03T,-73.1251,44.8111,185,June,4.34,65.7
NW03T,-73.1251,44.8111,185,July,4.11,70.7
NW03T,-73.1251,44.8111,185,August,3.88,69.1
NW03T,-73.1251,44.8111,185,September,3.68,61.6
NW03T,-73.1251,44.8111,185,October,3.94,49.1
NW03T,-73.1251,44.8111,185,November,2.94,37.7
NW03T,-73.1251,44.8111,185,December,2.79,26.2
NW03T,-73.1251,44.8111,185,Annual,39.24,45.8
,,,,,,
V101,-73.3072,45.0097,127,January,2.59,16.8
V101,-73.3072,45.0097,127,February,2.16,18.8
V101,-73.3072,45.0097,127,March,2.53,28.9
V101,-73.3072,45.0097,127,April,3.31,43.3
V101,-73.3072,45.0097,127,May,3.63,56.6
V101,-73.3072,45.0097,127,June,4.07,65.7
V101,-73.3072,45.0097,127,July,4.06,70.3
V101,-73.3072,45.0097,127,August,3.86,68.4
V101,-73.3072,45.0097,127,September,3.55,61.1
V101,-73.3072,45.0097,127,October,4.13,48.6
V101,-73.3072,45.0097,127,November,3.07,36.7
V101,-73.3072,45.0097,127,December,3.11,24.9
V101,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V102,-73.3072,45.0097,127,January,2.59,16.8
V102,-73.3072,45.0097,127,February,2.16,18.8
V102,-73.3072,45.0097,127,March,2.53,28.9
V102,-73.3072,45.0097,127,April,3.31,43.3
V102,-73.3072,45.0097,127,May,3.63,56.6
V102,-73.3072,45.0097,127,June,4.07,65.7
V102,-73.3072,45.0097,127,July,4.06,70.3
V102,-73.3072,45.0097,127,August,3.86,68.4
V102,-73.3072,45.0097,127,September,3.55,61.1
V102,-73.3072,45.0097,127,October,4.13,48.6
V102,-73.3072,45.0097,127,November,3.07,36.7
V102,-73.3072,45.0097,127,December,3.11,24.9
V102,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V103,-73.3072,45.0097,127,January,2.59,16.8
V103,-73.3072,45.0097,127,February,2.16,18.8
V103,-73.3072,45.0097,127,March,2.53,28.9
V103,-73.3072,45.0097,127,April,3.31,43.3
V103,-73.3072,45.0097,127,May,3.63,56.6
V103,-73.3072,45.0097,127,June,4.07,65.7
V103,-73.3072,45.0097,127,July,4.06,70.3
V103,-73.3072,45.0097,127,August,3.86,68.4
V103,-73.3072,45.0097,127,September,3.55,61.1
V103,-73.3072,45.0097,127,October,4.13,48.6
V103,-73.3072,45.0097,127,November,3.07,36.7
V103,-73.3072,45.0097,127,December,3.11,24.9
V103,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V104,-73.3072,45.0097,127,January,2.59,16.8
V104,-73.3072,45.0097,127,February,2.16,18.8
V104,-73.3072,45.0097,127,March,2.53,28.9
V104,-73.3072,45.0097,127,April,3.31,43.3
V104,-73.3072,45.0097,127,May,3.63,56.6
V104,-73.3072,45.0097,127,June,4.07,65.7
V104,-73.3072,45.0097,127,July,4.06,70.3
V104,-73.3072,45.0097,127,August,3.86,68.4
V104,-73.3072,45.0097,127,September,3.55,61.1
V104,-73.3072,45.0097,127,October,4.13,48.6
V104,-73.3072,45.0097,127,November,3.07,36.7
V104,-73.3072,45.0097,127,December,3.11,24.9
V104,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V105,-73.3072,45.0097,127,January,2.59,16.8
V105,-73.3072,45.0097,127,February,2.16,18.8
V105,-73.3072,45.0097,127,March,2.53,28.9
V105,-73.3072,45.0097,127,April,3.31,43.3
V105,-73.3072,45.0097,127,May,3.63,56.6
V105,-73.3072,45.0097,127,June,4.07,65.7
V105,-73.3072,45.0097,127,July,4.06,70.3
V105,-73.3072,45.0097,127,August,3.86,68.4
V105,-73.3072,45.0097,127,September,3.55,61.1
V105,-73.3072,45.0097,127,October,4.13,48.6
V105,-73.3072,45.0097,127,November,3.07,36.7
V105,-73.3072,45.0097,127,December,3.11,24.9
V105,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V201,-73.3072,45.0097,127,January,2.59,16.8
V201,-73.3072,45.0097,127,February,2.16,18.8
V201,-73.3072,45.0097,127,March,2.53,28.9
V201,-73.3072,45.0097,127,April,3.31,43.3
V201,-73.3072,45.0097,127,May,3.63,56.6
V201,-73.3072,45.0097,127,June,4.07,65.7
V201,-73.3072,45.0097,127,July,4.06,70.3
V201,-73.3072,45.0097,127,August,3.86,68.4
V201,-73.3072,45.0097,127,September,3.55,61.1
V201,-73.3072,45.0097,127,October,4.13,48.6
V201,-73.3072,45.0097,127,November,3.07,36.7
V201,-73.3072,45.0097,127,December,3.11,24.9
V201,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V202,-73.3072,45.0097,127,January,2.59,16.8
V202,-73.3072,45.0097,127,February,2.16,18.8
V202,-73.3072,45.0097,127,March,2.53,28.9
V202,-73.3072,45.0097,127,April,3.31,43.3
V202,-73.3072,45.0097,127,May,3.63,56.6
V202,-73.3072,45.0097,127,June,4.07,65.7
V202,-73.3072,45.0097,127,July,4.06,70.3
V202,-73.3072,45.0097,127,August,3.86,68.4
V202,-73.3072,45.0097,127,September,3.55,61.1
V202,-73.3072,45.0097,127,October,4.13,48.6
V202,-73.3072,45.0097,127,November,3.07,36.7
V202,-73.3072,45.0097,127,December,3.11,24.9
V202,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V203,-73.3072,45.0097,127,January,2.59,16.8
V203,-73.3072,45.0097,127,February,2.16,18.8
V203,-73.3072,45.0097,127,March,2.53,28.9
V203,-73.3072,45.0097,127,April,3.31,43.3
V203,-73.3072,45.0097,127,May,3.63,56.6
V203,-73.3072,45.0097,127,June,4.07,65.7
V203,-73.3072,45.0097,127,July,4.06,70.3
V203,-73.3072,45.0097,127,August,3.86,68.4
V203,-73.3072,45.0097,127,September,3.55,61.1
V203,-73.3072,45.0097,127,October,4.13,48.6
V203,-73.3072,45.0097,127,November,3.07,36.7
V203,-73.3072,45.0097,127,December,3.11,24.9
V203,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V204,-73.3072,45.0097,127,January,2.59,16.8
V204,-73.3072,45.0097,127,February,2.16,18.8
V204,-73.3072,45.0097,127,March,2.53,28.9
V204,-73.3072,45.0097,127,April,3.31,43.3
V204,-73.3072,45.0097,127,May,3.63,56.6
V204,-73.3072,45.0097,127,June,4.07,65.7
V204,-73.3072,45.0097,127,July,4.06,70.3
V204,-73.3072,45.0097,127,August,3.86,68.4
V204,-73.3072,45.0097,127,September,3.55,61.1
V204,-73.3072,45.0097,127,October,4.13,48.6
V204,-73.3072,45.0097,127,November,3.07,36.7
V204,-73.3072,45.0097,127,December,3.11,24.9
V204,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V205,-73.3072,45.0097,127,January,2.59,16.8
V205,-73.3072,45.0097,127,February,2.16,18.8
V205,-73.3072,45.0097,127,March,2.53,28.9
V205,-73.3072,45.0097,127,April,3.31,43.3
V205,-73.3072,45.0097,127,May,3.63,56.6
V205,-73.3072,45.0097,127,June,4.07,65.7
V205,-73.3072,45.0097,127,July,4.06,70.3
V205,-73.3072,45.0097,127,August,3.86,68.4
V205,-73.3072,45.0097,127,September,3.55,61.1
V205,-73.3072,45.0097,127,October,4.13,48.6
V205,-73.3072,45.0097,127,November,3.07,36.7
V205,-73.3072,45.0097,127,December,3.11,24.9
V205,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V206,-73.3072,45.0097,127,January,2.59,16.8
V206,-73.3072,45.0097,127,February,2.16,18.8
V206,-73.3072,45.0097,127,March,2.53,28.9
V206,-73.3072,45.0097,127,April,3.31,43.3
V206,-73.3072,45.0097,127,May,3.63,56.6
V206,-73.3072,45.0097,127,June,4.07,65.7
V206,-73.3072,45.0097,127,July,4.06,70.3
V206,-73.3072,45.0097,127,August,3.86,68.4
V206,-73.3072,45.0097,127,September,3.55,61.1
V206,-73.3072,45.0097,127,October,4.13,48.6
V206,-73.3072,45.0097,127,November,3.07,36.7
V206,-73.3072,45.0097,127,December,3.11,24.9
V206,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V301,-73.3072,45.0097,127,January,2.59,16.8
V301,-73.3072,45.0097,127,February,2.16,18.8
V301,-73.3072,45.0097,127,March,2.53,28.9
V301,-73.3072,45.0097,127,April,3.31,43.3
V301,-73.3072,45.0097,127,May,3.63,56.6
V301,-73.3072,45.0097,127,June,4.07,65.7
V301,-73.3072,45.0097,127,July,4.06,70.3
V301,-73.3072,45.0097,127,August,3.86,68.4
V301,-73.3072,45.0097,127,September,3.55,61.1
V301,-73.3072,45.0097,127,October,4.13,48.6
V301,-73.3072,45.0097,127,November,3.07,36.7
V301,-73.3072,45.0097,127,December,3.11,24.9
V301,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V302,-73.3072,45.0097,127,January,2.59,16.8
V302,-73.3072,45.0097,127,February,2.16,18.8
V302,-73.3072,45.0097,127,March,2.53,28.9
V302,-73.3072,45.0097,127,April,3.31,43.3
V302,-73.3072,45.0097,127,May,3.63,56.6
V302,-73.3072,45.0097,127,June,4.07,65.7
V302,-73.3072,45.0097,127,July,4.06,70.3
V302,-73.3072,45.0097,127,August,3.86,68.4
V302,-73.3072,45.0097,127,September,3.55,61.1
V302,-73.3072,45.0097,127,October,4.13,48.6
V302,-73.3072,45.0097,127,November,3.07,36.7
V302,-73.3072,45.0097,127,December,3.11,24.9
V302,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V303,-73.3072,45.0097,127,January,2.59,16.8
V303,-73.3072,45.0097,127,February,2.16,18.8
V303,-73.3072,45.0097,127,March,2.53,28.9
V303,-73.3072,45.0097,127,April,3.31,43.3
V303,-73.3072,45.0097,127,May,3.63,56.6
V303,-73.3072,45.0097,127,June,4.07,65.7
V303,-73.3072,45.0097,127,July,4.06,70.3
V303,-73.3072,45.0097,127,August,3.86,68.4
V303,-73.3072,45.0097,127,September,3.55,61.1
V303,-73.3072,45.0097,127,October,4.13,48.6
V303,-73.3072,45.0097,127,November,3.07,36.7
V303,-73.3072,45.0097,127,December,3.11,24.9
V303,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V304,-73.3072,45.0097,127,January,2.59,16.8
V304,-73.3072,45.0097,127,February,2.16,18.8
V304,-73.3072,45.0097,127,March,2.53,28.9
V304,-73.3072,45.0097,127,April,3.31,43.3
V304,-73.3072,45.0097,127,May,3.63,56.6
V304,-73.3072,45.0097,127,June,4.07,65.7
V304,-73.3072,45.0097,127,July,4.06,70.3
V304,-73.3072,45.0097,127,August,3.86,68.4
V304,-73.3072,45.0097,127,September,3.55,61.1
V304,-73.3072,45.0097,127,October,4.13,48.6
V304,-73.3072,45.0097,127,November,3.07,36.7
V304,-73.3072,45.0097,127,December,3.11,24.9
V304,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V305,-73.3072,45.0097,127,January,2.59,16.8
V305,-73.3072,45.0097,127,February,2.16,18.8
V305,-73.3072,45.0097,127,March,2.53,28.9
V305,-73.3072,45.0097,127,April,3.31,43.3
V305,-73.3072,45.0097,127,May,3.63,56.6
V305,-73.3072,45.0097,127,June,4.07,65.7
V305,-73.3072,45.0097,127,July,4.06,70.3
V305,-73.3072,45.0097,127,August,3.86,68.4
V305,-73.3072,45.0097,127,September,3.55,61.1
V305,-73.3072,45.0097,127,October,4.13,48.6
V305,-73.3072,45.0097,127,November,3.07,36.7
V305,-73.3072,45.0097,127,December,3.11,24.9
V305,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V306,-73.3072,45.0097,127,January,2.59,16.8
V306,-73.3072,45.0097,127,February,2.16,18.8
V306,-73.3072,45.0097,127,March,2.53,28.9
V306,-73.3072,45.0097,127,April,3.31,43.3
V306,-73.3072,45.0097,127,May,3.63,56.6
V306,-73.3072,45.0097,127,June,4.07,65.7
V306,-73.3072,45.0097,127,July,4.06,70.3
V306,-73.3072,45.0097,127,August,3.86,68.4
V306,-73.3072,45.0097,127,September,3.55,61.1
V306,-73.3072,45.0097,127,October,4.13,48.6
V306,-73.3072,45.0097,127,November,3.07,36.7
V306,-73.3072,45.0097,127,December,3.11,24.9
V306,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V307,-73.3072,45.0097,127,January,2.59,16.8
V307,-73.3072,45.0097,127,February,2.16,18.8
V307,-73.3072,45.0097,127,March,2.53,28.9
V307,-73.3072,45.0097,127,April,3.31,43.3
V307,-73.3072,45.0097,127,May,3.63,56.6
V307,-73.3072,45.0097,127,June,4.07,65.7
V307,-73.3072,45.0097,127,July,4.06,70.3
V307,-73.3072,45.0097,127,August,3.86,68.4
V307,-73.3072,45.0097,127,September,3.55,61.1
V307,-73.3072,45.0097,127,October,4.13,48.6
V307,-73.3072,45.0097,127,November,3.07,36.7
V307,-73.3072,45.0097,127,December,3.11,24.9
V307,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V401,-73.3072,45.0097,127,January,2.59,16.8
V401,-73.3072,45.0097,127,February,2.16,18.8
V401,-73.3072,45.0097,127,March,2.53,28.9
V401,-73.3072,45.0097,127,April,3.31,43.3
V401,-73.3072,45.0097,127,May,3.63,56.6
V401,-73.3072,45.0097,127,June,4.07,65.7
V401,-73.3072,45.0097,127,July,4.06,70.3
V401,-73.3072,45.0097,127,August,3.86,68.4
V401,-73.3072,45.0097,127,September,3.55,61.1
V401,-73.3072,45.0097,127,October,4.13,48.6
V401,-73.3072,45.0097,127,November,3.07,36.7
V401,-73.3072,45.0097,127,December,3.11,24.9
V401,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V402,-73.3072,45.0097,127,January,2.59,16.8
V402,-73.3072,45.0097,127,February,2.16,18.8
V402,-73.3072,45.0097,127,March,2.53,28.9
V402,-73.3072,45.0097,127,April,3.31,43.3
V402,-73.3072,45.0097,127,May,3.63,56.6
V402,-73.3072,45.0097,127,June,4.07,65.7
V402,-73.3072,45.0097,127,July,4.06,70.3
V402,-73.3072,45.0097,127,August,3.86,68.4
V402,-73.3072,45.0097,127,September,3.55,61.1
V402,-73.3072,45.0097,127,October,4.13,48.6
V402,-73.3072,45.0097,127,November,3.07,36.7
V402,-73.3072,45.0097,127,December,3.11,24.9
V402,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V403,-73.3072,45.0097,127,January,2.59,16.8
V403,-73.3072,45.0097,127,February,2.16,18.8
V403,-73.3072,45.0097,127,March,2.53,28.9
V403,-73.3072,45.0097,127,April,3.31,43.3
V403,-73.3072,45.0097,127,May,3.63,56.6
V403,-73.3072,45.0097,127,June,4.07,65.7
V403,-73.3072,45.0097,127,July,4.06,70.3
V403,-73.3072,45.0097,127,August,3.86,68.4
V403,-73.3072,45.0097,127,September,3.55,61.1
V403,-73.3072,45.0097,127,October,4.13,48.6
V403,-73.3072,45.0097,127,November,3.07,36.7
V403,-73.3072,45.0097,127,December,3.11,24.9
V403,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V404,-73.3072,45.0097,127,January,2.59,16.8
V404,-73.3072,45.0097,127,February,2.16,18.8
V404,-73.3072,45.0097,127,March,2.53,28.9
V404,-73.3072,45.0097,127,April,3.31,43.3
V404,-73.3072,45.0097,127,May,3.63,56.6
V404,-73.3072,45.0097,127,June,4.07,65.7
V404,-73.3072,45.0097,127,July,4.06,70.3
V404,-73.3072,45.0097,127,August,3.86,68.4
V404,-73.3072,45.0097,127,September,3.55,61.1
V404,-73.3072,45.0097,127,October,4.13,48.6
V404,-73.3072,45.0097,127,November,3.07,36.7
V404,-73.3072,45.0097,127,December,3.11,24.9
V404,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V405,-73.3072,45.0097,127,January,2.59,16.8
V405,-73.3072,45.0097,127,February,2.16,18.8
V405,-73.3072,45.0097,127,March,2.53,28.9
V405,-73.3072,45.0097,127,April,3.31,43.3
V405,-73.3072,45.0097,127,May,3.63,56.6
V405,-73.3072,45.0097,127,June,4.07,65.7
V405,-73.3072,45.0097,127,July,4.06,70.3
V405,-73.3072,45.0097,127,August,3.86,68.4
V405,-73.3072,45.0097,127,September,3.55,61.1
V405,-73.3072,45.0097,127,October,4.13,48.6
V405,-73.3072,45.0097,127,November,3.07,36.7
V405,-73.3072,45.0097,127,December,3.11,24.9
V405,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
V406,-73.3072,45.0097,127,January,2.59,16.8
V406,-73.3072,45.0097,127,February,2.16,18.8
V406,-73.3072,45.0097,127,March,2.53,28.9
V406,-73.3072,45.0097,127,April,3.31,43.3
V406,-73.3072,45.0097,127,May,3.63,56.6
V406,-73.3072,45.0097,127,June,4.07,65.7
V406,-73.3072,45.0097,127,July,4.06,70.3
V406,-73.3072,45.0097,127,August,3.86,68.4
V406,-73.3072,45.0097,127,September,3.55,61.1
V406,-73.3072,45.0097,127,October,4.13,48.6
V406,-73.3072,45.0097,127,November,3.07,36.7
V406,-73.3072,45.0097,127,December,3.11,24.9
V406,-73.3072,45.0097,127,Annual,40.06,45
,,,,,,
EL1,-72.3327,43.9677,1399,January,3.24,16.2
EL1,-72.3327,43.9677,1399,February,2.64,18.4
EL1,-72.3327,43.9677,1399,March,3.12,27
EL1,-72.3327,43.9677,1399,April,3.64,40.2
EL1,-72.3327,43.9677,1399,May,3.77,52.6
EL1,-72.3327,43.9677,1399,June,4.79,61.2
EL1,-72.3327,43.9677,1399,July,4.92,65.7
EL1,-72.3327,43.9677,1399,August,4.34,64.1
EL1,-72.3327,43.9677,1399,September,3.62,56.9
EL1,-72.3327,43.9677,1399,October,4.75,45.2
EL1,-72.3327,43.9677,1399,November,3.55,33.9
EL1,-72.3327,43.9677,1399,December,3.99,22.9
EL1,-72.3327,43.9677,1399,Annual,46.36,42
,,,,,,
NW22C,-73.0458,44.8795,355,January,2.49,17.3
NW22C,-73.0458,44.8795,355,February,2.11,19.6
NW22C,-73.0458,44.8795,355,March,2.62,29.1
NW22C,-73.0458,44.8795,355,April,3.29,43.1
NW22C,-73.0458,44.8795,355,May,3.74,56.3
NW22C,-73.0458,44.8795,355,June,4.33,65.1
NW22C,-73.0458,44.8795,355,July,4.21,69.9
NW22C,-73.0458,44.8795,355,August,4.03,68.3
NW22C,-73.0458,44.8795,355,September,3.85,60.8
NW22C,-73.0458,44.8795,355,October,4.1,48.5
NW22C,-73.0458,44.8795,355,November,3.11,37
NW22C,-73.0458,44.8795,355,December,3.02,25.4
NW22C,-73.0458,44.8795,355,Annual,40.89,45
,,,,,,
NW22T,-73.0425,44.8793,362,January,2.5,17.3
